RUN,2012-11-17,Ran 10.7km in 1:00:00,20
RUN,2012-11-18,Ran 22.1km in 2:00:42,32
RUN,2012-11-20,Ran 11.0km in 1:00:00,21
RUN,2012-11-21,Ran 10.2km in 0:53:02,20
RUN,2012-11-24,Ran 19.6km in 1:56:00,29
RUN,2012-11-25,Ran 7.5km in 0:45:00,17
RUN,2012-11-27,Ran 6.6km in 0:45:00,16
RUN,2012-11-29,Ran 10.6km in 1:00:00,20
RUN,2012-12-01,Ran 10.0km in 1:00:00,20
RUN,2012-12-02,Ran 20.0km in 2:00:00,30
RUN,2012-12-04,Ran 10.6km in 1:00:00,20
RUN,2012-12-05,Ran 7.4km in 0:45:00,17
RUN,2012-12-09,Ran 10.8km in 1:00:00,20
RUN,2012-12-11,Ran 11.0km in 1:00:51,21
RUN,2012-12-12,Ran 5.0km in 0:30:00,15
RUN,2012-12-14,Ran 10.6km in 1:00:00,20
RUN,2012-12-15,Ran 8.1km in 0:45:00,18
RUN,2012-12-16,Ran 16.6km in 1:30:00,26
RUN,2012-12-18,Ran 11.0km in 1:00:00,21
RUN,2012-12-19,Ran 11.0km in 1:00:00,21
RUN,2012-12-21,Ran 22.4km in 2:00:00,32
RUN,2012-12-28,Ran 10.9km in 0:59:40,20
RUN,2012-12-29,Ran 12.7km in 1:10:00,22
RUN,2013-01-02,Ran 7.6km in 0:45:00,17
RUN,2013-01-03,Ran 9.9km in 1:00:00,19
RUN,2013-01-06,Ran 22.0km in 2:03:03,32
RUN,2013-01-08,Ran 6.5km in 0:45:00,16
RUN,2013-01-09,Ran 6.6km in 0:45:00,16
RUN,2013-01-12,Ran 23.3km in 2:15:00,33
RUN,2013-02-12,Ran 4.3km in 0:26:40,14
RUN,2013-02-14,Ran 5.7km in 0:33:50,15
RUN,2013-02-17,Ran 9.8km in 0:59:20,19
RUN,2013-02-19,Ran 10.3km in 0:59:50,20
RUN,2013-02-21,Ran 9.7km in 1:00:16,19
RUN,2013-02-23,Ran 9.7km in 0:57:26,19
RUN,2013-02-24,Ran 16.4km in 1:37:35,26
RUN,2013-02-26,Ran 10.4km in 1:02:13,20
RUN,2013-02-28,Ran 10.3km in 0:59:39,20
RUN,2013-03-02,Ran 10.8km in 1:03:07,20
RUN,2013-03-03,Ran 19.0km in 2:02:00,29
RUN,2013-03-05,Ran 10.4km in 1:05:20,20
RUN,2013-03-07,Ran 10.3km in 1:00:34,20
RUN,2013-03-14,Ran 18.7km in 1:56:16,28
RUN,2013-03-17,Ran 22.3km in 2:05:26,32
RUN,2013-03-20,Ran 7.9km in 0:45:00,17
RACE,2013-03-24,Ran Hastings HM in 1:54:00,75
RUN,2013-03-26,Ran 6.5km in 0:37:00,16
RUN,2013-03-29,Ran 30.0km in 2:56:56,40
RUN,2013-04-01,Ran 22.0km in 2:02:06,32
RUN,2013-04-03,Ran 8.0km in 0:44:09,18
RUN,2013-04-05,Ran 5.8km in 0:34:25,15
RUN,2013-04-07,Ran 15.0km in 1:23:54,25
RUN,2013-04-09,Ran 5.0km in 0:30:11,15
RACE,2013-04-14,Ran Holmestrand Maraton in 4:18:39,75
RUN,2013-04-17,Ran 3.4km in 0:19:30,13
RUN,2013-04-20,Ran 9.0km in 0:46:01,19
RUN,2013-04-23,Ran 10.4km in 0:57:24,20
RACE,2013-04-27,Ran Sentrumslopet 10k in 0:46:31,75
