,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Index
70,27-May-2012,Sunday,,,,,,,,,,,,,,,,25.23,,2:49:15,6.70,1.035
71,28-May-2012,Monday,,,,,,,,,,,,,,,,,,,,1.036
72,29-May-2012,Tuesday,10,0:56:54,0:05:41,10.54,,,,,,,,,,,,,,,,1.036
73,30-May-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.037
74,31-May-2012,Thursday,8,0:53:04,0:06:38,9.05,,,,,,,,,,,,,101.65,,,1.037
75,1-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.038
76,2-Jun-2012,Saturday,12,1:08:10,0:05:40,10.56,,,,,,,,,,,,,,,,1.038
77,3-Jun-2012,Sunday,6.3,0:42:00,0:06:40,9.00,,,,,,,,,,,,36.3,,3:40:08,6.07,1.039
78,4-Jun-2012,Monday,,,,,,,,,,,,,,,,,,,,1.039
79,5-Jun-2012,Tuesday,10.2,1:10:43,0:06:55,8.65,,,,,,,,,,,,,,,,1.040
80,6-Jun-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.040
81,7-Jun-2012,Thursday,10,1:01:12,0:06:07,9.80,,,,,,,,,,,,,,,,1.041
82,8-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.041
83,9-Jun-2012,Saturday,15.86,1:38:19,0:06:11,9.68,,,,,,,,,,,,,,,,1.042
84,10-Jun-2012,Sunday,7,0:44:20,0:06:20,9.47,,,,,,,,,,,,43.06,,4:34:34,6.38,1.042
85,11-Jun-2012,Monday,,,,,,,,,,,,,,,,,,,,1.043
86,12-Jun-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.043
87,13-Jun-2012,Wednesday,7.7,0:46:58,0:06:05,9.84,,,,,,,,,,,,,,,,1.044
88,14-Jun-2012,Thursday,11.5,1:05:27,0:05:41,10.54,,,,,,,,,,,,,,,,1.044
89,15-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.045
90,16-Jun-2012,Saturday,16.5,1:44:30,0:06:20,9.47,,,,,,,,,,,,,,,,1.045
91,17-Jun-2012,Sunday,9.07,0:57:26,0:06:19,9.48,,,,,,,,,,,,44.77,,4:34:21,6.13,1.046
92,18-Jun-2012,Monday,,,,,,,,,,,,,,,,,,,,1.047
93,19-Jun-2012,Tuesday,8.87,0:55:43,0:06:16,9.55,,,,,,,,,,,,,,,,1.047
94,20-Jun-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.048
95,21-Jun-2012,Thursday,9.8,0:57:03,0:05:49,10.31,,,,,,,,,,,,,,,,1.048
96,22-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.049
97,23-Jun-2012,Saturday,18.02,1:50:49,0:06:08,9.76,,,,,,,,,,,,,,,,1.049
98,24-Jun-2012,Sunday,,,,,,,,,,,,,,,,36.69,,3:43:35,6.10,1.050
99,25-Jun-2012,Monday,5.25,0:30:16,0:05:45,10.41,,,,,,,,,,,,,,,,1.050
100,26-Jun-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.051
101,27-Jun-2012,Wednesday,10.5,0:58:51,0:05:36,10.71,,,,,,,,,,,,,,,,1.051
102,28-Jun-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.052
103,29-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.052
104,30-Jun-2012,Saturday,21.1,1:59:34,0:05:40,10.59,,,,,,,,,,,,,179.67,,,1.053
105,1-Jul-2012,Sunday,,,,,,,,,,,,,,,,36.85,,3:28:41,5.67,1.053
106,2-Jul-2012,Monday,,,,,,,,,,,,,,,,,,,,1.054
107,3-Jul-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.054
108,4-Jul-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.055
109,5-Jul-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.055
110,6-Jul-2012,Friday,,,,,,,,,,,,,,,,,,,,1.056
111,7-Jul-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.057
112,8-Jul-2012,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.057
113,9-Jul-2012,Monday,6.26,0:43:17,0:06:54,8.68,,,,,,,,,,,,,,,,1.058
114,10-Jul-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.058
115,11-Jul-2012,Wednesday,15,1:24:20,0:05:37,10.67,,,,,,,,,,,,,,,,1.059
116,12-Jul-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.059
117,13-Jul-2012,Friday,,,,,,,,,,,,,,,,,,,,1.060
118,14-Jul-2012,Saturday,21.1,1:59:34,0:05:40,10.59,,,,,,,,,,,,,,,,1.060
119,15-Jul-2012,Sunday,,,,,,,,,,,,,,,,42.36,,4:07:11,5.83,1.061
120,16-Jul-2012,Monday,10,0:53:20,0:05:20,11.25,,,,,,,,,,,,,,,,1.061
121,17-Jul-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.062
122,18-Jul-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.062
123,19-Jul-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.063
124,20-Jul-2012,Friday,,,,,,,,,,,,,,,,,,,,1.063
125,21-Jul-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.064
126,22-Jul-2012,Sunday,5.69,0:35:45,0:06:16,9.55,,,,,,,,,,,,15.69,,1:29:05,5.68,1.064
127,23-Jul-2012,Monday,,,,,,,,,,,,,,,,,,,,1.065
128,24-Jul-2012,Tuesday,9.7,0:58:12,0:06:00,10.00,,,,,,,,,,,,,,,,1.066
129,25-Jul-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.066
130,26-Jul-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.067
131,27-Jul-2012,Friday,9.5,0:56:41,0:05:58,10.06,,,,,,,,,,,,,,,,1.067
132,28-Jul-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.068
133,29-Jul-2012,Sunday,22.6,2:13:43,0:05:55,10.14,,,,,,,,,,,,41.8,,4:08:36,5.95,1.068
134,30-Jul-2012,Monday,,,,,,,,,,,,,,,,,,,,1.069
135,31-Jul-2012,Tuesday,9.9,0:59:04,0:05:57,10.06,,,,,,,,,,,,,109.75,,,1.069
136,1-Aug-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.070
137,2-Aug-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.070
138,3-Aug-2012,Friday,9.85,0:56:38,0:05:44,10.44,,,,,,,,,,,,,,,,1.071
139,4-Aug-2012,Saturday,23.6,2:19:38,0:05:55,10.14,,,,,,,,,,,,,,,,1.071
140,5-Aug-2012,Sunday,,,,,,,,,,,,,,,,43.35,,4:15:20,5.88,1.072
141,6-Aug-2012,Monday,4.75,0:25:24,0:05:20,11.22,,,,,,,,,,,,,,,,1.072
142,7-Aug-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.073
143,8-Aug-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.074
144,9-Aug-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.074
145,10-Aug-2012,Friday,11.38,1:00:07,0:05:16,11.36,,,,,,,,,,,,,,,,1.075
146,11-Aug-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.075
147,12-Aug-2012,Sunday,15.79,1:29:28,0:05:39,10.59,,,,,,,,,,,,31.92,,2:54:59,5.48,1.076
148,13-Aug-2012,Monday,,,,,,,,,,,,,,,,,,,,1.076
149,14-Aug-2012,Tuesday,8,0:48:56,0:06:07,9.81,,,,,,,,,,,,,,,,1.077
150,15-Aug-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.077
151,16-Aug-2012,Thursday,9.07,0:53:12,0:05:51,10.23,,,,,,,,,,,,,,,,1.078
152,17-Aug-2012,Friday,,,,,,,,,,,,,,,,,,,,1.078
153,18-Aug-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.079
154,19-Aug-2012,Sunday,21.1,1:57:39,0:05:34,10.76,,,,,,,,,,,,38.17,,3:39:47,5.75,1.079
155,20-Aug-2012,Monday,,,,,,,,,,,,,,,,,,,,1.080
