,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Index
259,2-Dec-2012,Sunday,20,2:00:00,0:06:00,10.00,153,0,0.00%,13.01,,13.01,1:43:13,1:37:50,3:37:50,Treadmill,Sick. Legs hurt. Struggle to do 2 hours.,47.2,,4:45:00,6.03,1.138
260,3-Dec-2012,Monday,,,,,,,,,,,,,,,,,,,,1.138
261,4-Dec-2012,Tuesday,10.6,1:00:00,0:05:39,10.60,,0,0.00%,,,,,,,Treadmill,Felt good. + squats,,,,,1.139
262,5-Dec-2012,Wednesday,7.4,0:45:00,0:06:04,9.87,152,0,0.00%,13.02,,13.02,1:43:11,1:37:48,3:37:45,Treadmill,"Easy, but legs hurt after squats. +BP",,,,,1.139
263,6-Dec-2012,Thursday,,,,,,,,,,,,,,,No time to run,,,,,1.140
264,7-Dec-2012,Friday,,,,,,,,,,,,,,,,,,,,1.141
265,8-Dec-2012,Saturday,,,,,,,,,,,,,,,In UK,,,,,1.141
266,9-Dec-2012,Sunday,10.8,1:00:00,0:05:33,10.80,161,0,0.00%,12.67,,12.67,1:46:14,1:40:32,3:44:09,Treadmill,Back from trip; no time for more. + squats,28.8,,2:45:00,5.73,1.142
267,10-Dec-2012,Monday,,,,,,,,,,,,,,,,,,,,1.142
268,11-Dec-2012,Tuesday,11,1:00:51,0:05:31,10.85,164,0,0.00%,12.27,,12.27,1:49:55,1:43:50,3:51:54,Treadmill,Comfortable.,,,,,1.143
269,12-Dec-2012,Wednesday,5,0:30:00,0:06:00,10.00,,0,0.00%,,,,,,,Treadmill,Chafing; had to stop early,,,,,1.143
270,13-Dec-2012,Thursday,,,,,,,,,,,,,,,Busy,,,,,1.144
271,14-Dec-2012,Friday,10.6,1:00:00,0:05:39,10.60,159,0,0.00%,12.75,,12.75,1:45:31,1:39:54,3:42:39,Treadmill,Pretty easy.,,,,,1.144
272,15-Dec-2012,Saturday,8.1,0:45:00,0:05:33,10.80,,0,0.00%,,,,,,,Treadmill,Tempo. 10@12kph 168bpm,,,,,1.145
273,16-Dec-2012,Sunday,16.6,1:30:00,0:05:25,11.07,162,0,0.00%,12.82,,12.82,1:44:52,1:39:19,3:41:17,Treadmill,Comfortable. 80@11.2kph 162bpm,51.3,,4:45:51,5.57,1.146
274,17-Dec-2012,Monday,,,,,,,,,,,,,,,,,,,,1.146
275,18-Dec-2012,Tuesday,11,1:00:00,0:05:27,11.00,,0,0.00%,,,,,,,Treadmill,Fairly easy.,,,,,1.147
276,19-Dec-2012,Wednesday,11,1:00:00,0:05:27,11.00,163,0,0.00%,12.59,,12.59,1:46:55,1:41:09,3:45:35,Treadmill,Fairly easy,,,,,1.147
277,20-Dec-2012,Thursday,,,,,,,,,,,,,,,Too busy,,,,,1.148
278,21-Dec-2012,Friday,22.4,2:00:00,0:05:21,11.20,160,0,0.00%,13.30,,13.30,1:40:52,1:35:43,3:32:53,Treadmill,"1:50@11.3kph, 160bpm",,,,,1.149
279,22-Dec-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.149
280,23-Dec-2012,Sunday,,,,,,,,,,,,,,,,44.4,,4:00:00,5.40,1.150
281,24-Dec-2012,Monday,,,,,,,,,,,,,,,,,,,,1.150
282,25-Dec-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.151
283,26-Dec-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.151
284,27-Dec-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.152
285,28-Dec-2012,Friday,10.9,0:59:40,0:05:28,10.96,160,0,0.00%,13.02,,13.02,1:43:12,1:37:49,3:37:47,Treadmill,"Felt crap. 50@11.2, 160bpm",,,,,1.153
286,29-Dec-2012,Saturday,12.7,1:10:00,0:05:30,10.89,,0,0.00%,,,,,,,Treadmill,Felt crap. Intended 2 hours.,,,,,1.153
287,30-Dec-2012,Sunday,,,,,,,,,,,,,,,,23.6,,2:09:40,5.50,1.154
288,31-Dec-2012,Monday,,,,,,,,,,,,,,,,,178.1,,,1.154
289,1-Jan-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.155
290,2-Jan-2013,Wednesday,7.6,0:45:00,0:05:55,10.13,,0,0.00%,,,,,,,Treadmill,Ran after 2k rowing time trial (7:54),,,,,1.155
291,3-Jan-2013,Thursday,9.9,1:00:00,0:06:03,9.90,150,0,0.00%,13.44,,13.44,1:39:47,1:34:45,3:30:37,Treadmill,"Hurts behind left knee, so kept pace easy",,,,,1.156
292,4-Jan-2013,Friday,,,,,,,,,,,,,,,Left knee incredibly stiff and a bit painful.,,,,,1.157
293,5-Jan-2013,Saturday,,,,,,,,,,,,,,,Don't think knee can cope with 2 runs this weekend. Much less stiff today though.,,,,,1.157
294,6-Jan-2013,Sunday,22,2:03:03,0:05:35,10.73,167,212,0.96%,,11.71,12.44,1:48:19,1:42:24,3:48:32,Heggedal,"-1C, bit icy in places. Knee started to stiffen up after an hour.",39.5,,3:48:03,5.77,1.158
295,7-Jan-2013,Monday,,,,,,,,,,,,,,,,,,,,1.158
296,8-Jan-2013,Tuesday,6.5,0:45:00,0:06:55,8.67,143,0,0.00%,13.07,,13.07,1:42:46,1:37:25,3:36:52,Treadmill,"Left hamstring hurts, didn't want to risk any faster/further",,,,,1.159
297,9-Jan-2013,Wednesday,6.6,0:45:00,0:06:49,8.80,142,0,0.00%,13.48,,13.48,1:39:25,1:34:24,3:29:49,Treadmill,"Hamstring still hurts. HR measured usin Garmin. 5=92, 6=102, 8=132, 8.5=138, 9=143, 9.5=151",,,,,1.159
298,10-Jan-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.160
299,11-Jan-2013,Friday,,,,,,,,,,,,,,,,,,,,1.161
300,12-Jan-2013,Saturday,23.3,2:15:00,0:05:47,10.36,155,0,0.00%,13.12,,13.12,1:42:22,1:37:04,3:36:01,Treadmill,Build up 10kph to 11kph. Left hamstring still hurts. New pain started at 2 hr mark.,,,,,1.161
301,13-Jan-2013,Sunday,,,,,,,,,,,,,,,Leg bad.,36.4,,3:45:00,6.18,1.162
302,14-Jan-2013,Monday,,,,,,,,,,,,,,,,,,,,1.162
303,15-Jan-2013,Tuesday,,,,,,,,,,,,,,,"Leg feeling a bit better, but still needs rest. Nasty cough developing",,,,,1.163
304,16-Jan-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.164
305,17-Jan-2013,Thursday,,,,,,,,,,,,,,,Leg on road to recovery but cough dreadful,,,,,1.164
306,18-Jan-2013,Friday,,,,,,,,,,,,,,,,,,,,1.165
307,19-Jan-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.165
308,20-Jan-2013,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.166
309,21-Jan-2013,Monday,,,,,,,,,,,,,,,,,,,,1.166
310,22-Jan-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.167
311,23-Jan-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.168
312,24-Jan-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.168
313,25-Jan-2013,Friday,,,,,,,,,,,,,,,,,,,,1.169
314,26-Jan-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.169
315,27-Jan-2013,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.170
316,28-Jan-2013,Monday,,,,,,,,,,,,,,,,,,,,1.171
317,29-Jan-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.171
318,30-Jan-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.172
319,31-Jan-2013,Thursday,,,,,,,,,,,,,,,Diagnosed with pneumonia,,75.8999999999999,,,1.172
320,1-Feb-2013,Friday,,,,,,,,,,,,,,,,,,,,1.173
321,2-Feb-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.173
322,3-Feb-2013,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.174
323,4-Feb-2013,Monday,,,,,,,,,,,,,,,,,,,,1.175
324,5-Feb-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.175
325,6-Feb-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.176
326,7-Feb-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.176
327,8-Feb-2013,Friday,,,,,,,,,,,,,,,,,,,,1.177
328,9-Feb-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.178
329,10-Feb-2013,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.178
330,11-Feb-2013,Monday,,,,,,,,,,,,,,,,,,,,1.179
331,12-Feb-2013,Tuesday,4.3,0:26:40,0:06:12,9.68,,,,,,,,,,Risenga,Very out of breath by end,,,,,1.179
332,13-Feb-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.180
333,14-Feb-2013,Thursday,5.7,0:33:50,0:05:56,10.11,178,29,0.51%,,9.80,10.18,2:14:14,2:05:16,4:42:53,To Semsvann,Hard. Loose snow,,,,,1.181
334,15-Feb-2013,Friday,,,,,,,,,,,,,,,,,,,,1.181
335,16-Feb-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.182
336,17-Feb-2013,Sunday,9.8,0:59:20,0:06:03,9.91,173,111,1.13%,,10.12,10.97,2:03:50,1:56:10,4:21:05,Semsvann,Hills were tough. Loose snow in places.,19.8,,1:59:50,6.05,1.182
337,18-Feb-2013,Monday,,,,,,,,,,,,,,,,,,,,1.183
338,19-Feb-2013,Tuesday,10.3,0:59:50,0:05:48,10.33,176,116,1.13%,,10.22,11.07,2:02:43,1:55:11,4:18:45,Semsvann,Hard,,,,,1.183
339,20-Feb-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.184
340,21-Feb-2013,Thursday,9.7,1:00:16,0:06:12,9.66,162,0,0.00%,11.19,,11.19,2:01:17,1:53:55,4:15:44,Treadmill,"8kph=148bpm, 9=156, 10=164",,,,,1.185
341,22-Feb-2013,Friday,,,,,,,,,,,,,,,,,,,,1.185
342,23-Feb-2013,Saturday,9.74,0:57:26,0:05:53,10.18,174,105,1.08%,,10.28,11.09,2:02:24,1:54:54,4:18:05,Semsvann,Hard,,,,,1.186
343,24-Feb-2013,Sunday,16.4,1:37:35,0:05:57,10.08,169,154,0.94%,,10.76,11.47,1:58:07,1:51:07,4:09:05,Heggedal,Comfortable,46.14,,4:35:07,5.97,1.186
344,25-Feb-2013,Monday,,,,,,,,,,,,,,,,,,,,1.187
345,26-Feb-2013,Tuesday,10.4,1:02:13,0:05:58,10.03,168,112,1.08%,,10.83,11.63,1:56:18,1:49:30,4:05:17,,,,,,,1.188
346,27-Feb-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.188
347,28-Feb-2013,Thursday,10.3,0:59:39,0:05:47,10.36,175,112,1.09%,,10.36,11.18,2:01:25,1:54:02,4:16:01,Semsvann,Hard. Windy,,86.6400000000001,,,1.189
348,1-Mar-2013,Friday,,,,,,,,,,,,,,,,,,,,1.189
349,2-Mar-2013,Saturday,10.8,1:03:07,0:05:50,10.27,168,90,0.83%,,11.08,11.71,1:55:31,1:48:49,4:03:39,Heggedal,"No spikes. Icy patches. Very windy. Fell once, got wet feet twice.",,,,,1.190
350,3-Mar-2013,Sunday,19,2:02:00,0:06:25,9.34,,283,1.49%,,,,,,,Gupu,Comfortable. Legs ached by end.  (Distance estimed),50.5,,5:06:59,6.08,1.191
351,4-Mar-2013,Monday,,,,,,,,,,,,,,,,,,,,1.191
352,5-Mar-2013,Tuesday,10.4,1:05:20,0:06:16,9.55,164,112,1.08%,,10.80,11.61,1:56:34,1:49:45,4:05:51,Semsvann,Easy,,,,,1.192
353,6-Mar-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.192
354,7-Mar-2013,Thursday,10.35,1:00:34,0:05:51,10.25,,112,1.08%,,,,,,,Semsvann,4k easy then 5k HM effort. HRM went crazy at start so no overall HR,,,,,1.193
355,8-Mar-2013,Friday,,,,,,,,,,,,,,,,,,,,1.194
356,9-Mar-2013,Saturday,,,,,,,,,,,,,,,Visitors,,,,,1.194
357,10-Mar-2013,Sunday,,,,,,,,,,,,,,,Visitors,20.75,,2:05:54,6.07,1.195
358,11-Mar-2013,Monday,,,,,,,,,,,,,,,,,,,,1.195
359,12-Mar-2013,Tuesday,,,,,,,,,,,,,,,Visitors,,,,,1.196
360,13-Mar-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.197
361,14-Mar-2013,Thursday,18.7,1:56:16,0:06:13,9.65,165,295,1.58%,,10.79,11.97,1:52:50,1:46:26,3:58:01,Gupu,Easy,,,,,1.197
362,15-Mar-2013,Friday,,,,,,,,,,,,,,,,,,,,1.198
363,16-Mar-2013,Saturday,,,,,,,,,,,,,,,Busy,,,,,1.198
364,17-Mar-2013,Sunday,22.3,2:05:26,0:05:37,10.67,169,225,1.01%,,11.39,12.14,1:51:07,1:44:54,3:54:24,Heggedal,Comfortable,41,,4:01:42,5.90,1.199
365,18-Mar-2013,Monday,,,,,,,,,,,,,,,,,,,,1.200
366,19-Mar-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.200
367,20-Mar-2013,Wednesday,7.9,0:45:00,0:05:41,10.53,161,0,0.00%,12.35,,12.35,1:49:06,1:43:06,3:50:09,Treadmill,Build up,,,,,1.201
368,21-Mar-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.201
369,22-Mar-2013,Friday,,,,,,,,,,,,,,,,,,,,1.202
370,23-Mar-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.203
371,24-Mar-2013,Sunday,21.1,1:54:00,0:05:24,11.11,176,254,1.20%,,10.99,11.89,1:53:37,1:47:07,3:59:39,Hastings Half Marathon,Ran according to plan.,29,,2:39:00,5.48,1.203
372,25-Mar-2013,Monday,,,,,,,,,,,,,,,,,,,,1.204
373,26-Mar-2013,Tuesday,6.5,0:37:00,0:05:41,10.54,,,,,,,,,,Hoylake crescent,"Recovery run, Garmin battery dead",,,,,1.204
374,27-Mar-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.205
375,28-Mar-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.206
376,29-Mar-2013,Friday,30,2:56:56,0:05:53,10.17,161,363,1.21%,,11.93,12.84,1:44:43,1:39:11,3:40:58,Røyken,Feeling the beginnings of cramp by the end :-(,,,,,1.206
377,30-Mar-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.207
378,31-Mar-2013,Sunday,,,,,,,,,,,,,,,,36.5,157.05,3:33:56,5.87,1.207
379,1-Apr-2013,Monday,22,2:02:06,0:05:33,10.81,161,185,0.84%,,12.68,13.31,1:40:47,1:35:39,3:32:43,Heggedal,"Half easy, half hard. 157bpm / 166bpm. 5:47 / 5:19.",,,,,1.208
380,2-Apr-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.209
381,3-Apr-2013,Wednesday,8,0:44:09,0:05:31,10.87,169,37,0.46%,,11.60,11.95,1:53:01,1:46:35,3:58:23,Towards Semsvann,"Marathon pace, surprisingly hard.",,,,,1.209
382,4-Apr-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.210
383,5-Apr-2013,Friday,5.8,0:34:25,0:05:56,10.11,161,28,0.48%,,11.86,12.22,1:50:21,1:44:13,3:52:49,Towards Semsvann,Easy,,,,,1.210
384,6-Apr-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.211
385,7-Apr-2013,Sunday,15,1:23:54,0:05:35,10.73,161,140,0.93%,,12.58,13.28,1:41:01,1:35:51,3:33:12,Heggedal,Fairly easy,50.8,,4:44:34,5.60,1.212
386,8-Apr-2013,Monday,,,,,,,,,,,,,,,,,,,,1.212
387,9-Apr-2013,Tuesday,5,0:30:11,0:06:02,9.94,160,59,1.18%,,11.80,12.69,1:46:02,1:40:22,3:43:45,Past Risenga,Easy,,,,,1.213
388,10-Apr-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.213
389,11-Apr-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.214
390,12-Apr-2013,Friday,,,,,,,,,,,,,,,,,,,,1.215
391,13-Apr-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.215
392,14-Apr-2013,Sunday,42.2,4:18:39,0:06:07,9.79,168,390,0.92%,,10.57,11.26,2:00:26,1:53:10,4:13:58,Holmestrand Marathon,"Last 18km were agony.  Much hillier than expected.  Splits 1:20, 1:20, 1:38",47.2,,4:48:50,6.12,1.216
393,15-Apr-2013,Monday,,,,,,,,,,,,,,,,,,,,1.216
394,16-Apr-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.217
395,17-Apr-2013,Wednesday,3.4,0:19:30,0:05:44,10.46,162,25,0.74%,,12.12,12.67,1:46:11,1:40:30,3:44:03,Solgården,Easy.,,,,,1.218
396,18-Apr-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.218
397,19-Apr-2013,Friday,,,,,,,,,,,,,,,,,,,,1.219
398,20-Apr-2013,Saturday,9,0:46:01,0:05:06,11.73,167,70,0.78%,,12.81,13.40,1:40:06,1:35:01,3:31:15,Semsvann,Quick,,,,,1.220
399,21-Apr-2013,Sunday,,,,,,,,,,,,,,,,12.4,,1:05:31,5.28,1.220
400,22-Apr-2013,Monday,,,,,,,,,,,,,,,,,,,,1.221
401,23-Apr-2013,Tuesday,10.4,0:57:24,0:05:31,10.87,168,70,0.67%,,11.74,12.24,1:50:10,1:44:03,3:52:25,Semsvann,Fartlek,,,,,1.221
402,24-Apr-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.222
403,25-Apr-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.223
404,26-Apr-2013,Friday,,,,,,,,,,,,,,,,,,,,1.223
405,27-Apr-2013,Saturday,10,0:46:31,0:04:39,12.90,180,86,0.86%,,12.25,12.90,1:44:12,1:38:43,3:39:53,Sentrumslopet 10k,Felt good,,,,,1.224
406,28-Apr-2013,Sunday,,,,,,,,,,,,,,,,20.4,,1:43:55,5.10,1.224
407,29-Apr-2013,Monday,,,,,,,,,,,,,,,Gym.,,,,,1.225
408,30-Apr-2013,Tuesday,8,0:46:00,0:05:45,10.43,162,50,0.63%,,12.09,12.56,1:47:13,1:41:25,3:46:12,Semsvann,"3x500 @ 4:12, 4:09, 4:25",,138.8,,,1.226
409,1-May-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.226
410,2-May-2013,Thursday,6.1,0:32:54,0:05:23,11.12,166,,,,12.29,12.29,1:49:42,1:43:39,3:51:27,Kirkeveien,"Tempo run 10:39 @ 181bpm, 4:31/km, hilly",,,,,1.227
411,3-May-2013,Friday,,,,,,,,,,,,,,,,,,,,1.227
412,4-May-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.228
413,5-May-2013,Sunday,22,2:04:20,0:05:39,10.62,165,185,0.84%,,11.87,12.50,1:47:46,1:41:55,3:47:23,Heggedal,"Two thirds @ 164bpm, then 169bpm. Exhausting.",36.1,,3:23:14,5.63,1.229
414,6-May-2013,Monday,,,,,,,,,,,,,,,Gym,,,,,1.229
415,7-May-2013,Tuesday,5,0:27:54,0:05:34,10.75,164,25,0.50%,,12.16,12.54,1:47:25,1:41:35,3:46:37,Semsvann,"Planned intervals, but legs too tired.",,,,,1.230
416,8-May-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.231
417,9-May-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.231
418,10-May-2013,Friday,,,,,,,,,,,,,,,,,,,,1.232
419,11-May-2013,Saturday,11.8,1:02:00,0:05:15,11.42,,,,,,,,,,Kjerkebukta,Comfortably hard,,,,,1.232
420,12-May-2013,Sunday,,,,,,,,,,,,,,,,16.8,,1:29:54,5.35,1.233
421,13-May-2013,Monday,,,,,,,,,,,,,,,"Gym.  Squats, deadlifts, chin ups.",,,,,1.234
422,14-May-2013,Tuesday,6.9,0:37:30,0:05:26,11.04,166,100,1.45%,,12.20,13.28,1:41:01,1:35:51,3:33:11,Kirkeveien,"4 x 500m hills. 4:53, 4:56, 4:58, 5:03. 177bpm, 175, 175, 174.  Ugh, horrible.",,,,,1.234
423,15-May-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.235
424,16-May-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.235
425,17-May-2013,Friday,,,,,,,,,,,,,,,,,,,,1.236
426,18-May-2013,Saturday,10,0:53:02,0:05:18,11.31,168,73,0.73%,,12.21,12.76,1:45:24,1:39:47,3:42:24,Semsvann,Comfortably hard,,,,,1.237
427,19-May-2013,Sunday,,,,,,,,,,,,,,,,16.9,,1:30:32,5.35,1.237
428,20-May-2013,Monday,15.1,1:29:26,0:05:55,10.13,155,165,1.09%,,12.83,13.65,1:38:07,1:33:14,3:27:07,Heggedal,Easy,,,,,1.238
429,21-May-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.239
430,22-May-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.239
431,23-May-2013,Thursday,8.4,0:43:53,0:05:13,11.48,165,50,0.60%,,12.84,13.28,1:41:00,1:35:51,3:33:11,Semsvann,"Tempo 14 mins @ 169bpm, 04:56",,,,,1.240
432,24-May-2013,Friday,,,,,,,,,,,,,,,,,,,,1.240
433,25-May-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.241
434,26-May-2013,Sunday,,,,,,,,,,,,,,,,23.5,,2:13:19,5.67,1.242
435,27-May-2013,Monday,,,,,,,,,,,,,,,,,,,,1.242
436,28-May-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.243
437,29-May-2013,Wednesday,5,0:22:57,0:04:35,13.07,188,15,0.30%,,11.50,11.72,1:55:22,1:48:41,4:03:19,Fornebuløpet,Very humid.,,,,,1.244
438,30-May-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.244
439,31-May-2013,Friday,,,,,,,,,,,,,,,,,90.3,,,1.245
440,1-Jun-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.245
441,2-Jun-2013,Sunday,,,,,,,,,,,,,,,,5,,0:22:57,4.58,1.246
442,3-Jun-2013,Monday,,,,,,,,,,,,,,,,,,,,1.247
443,4-Jun-2013,Tuesday,9.5,0:54:44,0:05:45,10.41,163,85,0.89%,,11.92,12.59,1:46:55,1:41:09,3:45:34,Semsvann,Easy,,,,,1.247
444,5-Jun-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.248
445,6-Jun-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.249
446,7-Jun-2013,Friday,,,,,,,,,,,,,,,,,,,,1.249
447,8-Jun-2013,Saturday,9.5,0:50:18,0:05:17,11.33,169,85,0.89%,,12.10,12.77,1:45:21,1:39:44,3:42:17,Semsvann,Hard,,,,,1.250
448,9-Jun-2013,Sunday,,,,,,,,,,,,,,,,19,,1:45:02,5.53,1.250
449,10-Jun-2013,Monday,,,,,,,,,,,,,,,,,,,,1.251
450,11-Jun-2013,Tuesday,9.5,1:00:25,0:06:21,9.43,154,85,0.89%,,12.11,12.78,1:45:12,1:39:37,3:41:59,Semsvann,Very easy,,,,,1.252
451,12-Jun-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.252
452,13-Jun-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.253
453,14-Jun-2013,Friday,,,,,,,,,,,,,,,,,,,,1.254
454,15-Jun-2013,Saturday,18,1:44:37,0:05:48,10.32,160,140,0.78%,,12.26,12.84,1:44:41,1:39:09,3:40:54,Heggedal,Easy,,,,,1.254
455,16-Jun-2013,Sunday,,,,,,,,,,,,,,,,27.5,,2:45:02,6.00,1.255
456,17-Jun-2013,Monday,,,,,,,,,,,,,,,,,,,,1.255
457,18-Jun-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.256
458,19-Jun-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.257
459,20-Jun-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.257
460,21-Jun-2013,Friday,,,,,,,,,,,,,,,,,,,,1.258
461,22-Jun-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.259
462,23-Jun-2013,Sunday,19.4,1:52:46,0:05:48,10.32,163,209,1.08%,,11.81,12.62,1:46:37,1:40:53,3:44:58,Heggedal,5km in 26:56 then 14.4km easy,19.4,,1:52:46,5.82,1.259
463,24-Jun-2013,Monday,,,,,,,,,,,,,,,,,,,,1.260
464,25-Jun-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.260
465,26-Jun-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.261
466,27-Jun-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.262
467,28-Jun-2013,Friday,,,,,,,,,,,,,,,,,,,,1.262
468,29-Jun-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.263
469,30-Jun-2013,Sunday,9.56,0:55:25,0:05:47,10.35,158,85,0.89%,,12.61,13.27,1:41:05,1:35:55,3:33:20,Semsvann,Easy,9.56,75.46,0:55:25,5.80,1.264
470,1-Jul-2013,Monday,,,,,,,,,,,,,,,,,,,,1.264
471,2-Jul-2013,Tuesday,7,0:38:13,0:05:27,10.99,166,50,0.71%,,12.14,12.68,1:46:09,1:40:28,3:43:59,Semsvann,11 min tempo,,,,,1.265
472,3-Jul-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.265
473,4-Jul-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.266
474,5-Jul-2013,Friday,,,,,,,,,,,,,,,,,,,,1.267
475,6-Jul-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.267
476,7-Jul-2013,Sunday,,,,,,,,,,,,,,,,7,,0:38:13,5.47,1.268
477,8-Jul-2013,Monday,,,,,,,,,,,,,,,,,,,,1.269
478,9-Jul-2013,Tuesday,,,,,,,,,,,,,,,,,,,,1.269
479,10-Jul-2013,Wednesday,9.5,0:52:00,0:05:28,10.96,,85,0.89%,,,,,,,Semsvann,"Estimated time, no watch with me",,,,,1.270
480,11-Jul-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.271
481,12-Jul-2013,Friday,,,,,,,,,,,,,,,,,,,,1.271
482,13-Jul-2013,Saturday,9.55,0:57:12,0:05:59,10.02,161,90,0.94%,,11.75,12.46,1:48:09,1:42:15,3:48:10,Semsvann,,,,,,1.272
483,14-Jul-2013,Sunday,,,,,,,,,,,,,,,,19.05,,1:49:12,5.73,1.272
484,15-Jul-2013,Monday,,,,,,,,,,,,,,,,,,,,1.273
485,16-Jul-2013,Tuesday,9.5,0:55:22,0:05:49,10.30,162,85,0.89%,,11.93,12.60,1:46:51,1:41:05,3:45:26,Semsvann,Easy,,,,,1.274
486,17-Jul-2013,Wednesday,,,,,,,,,,,,,,,,,,,,1.274
487,18-Jul-2013,Thursday,,,,,,,,,,,,,,,,,,,,1.275
488,19-Jul-2013,Friday,,,,,,,,,,,,,,,,,,,,1.276
489,20-Jul-2013,Saturday,,,,,,,,,,,,,,,,,,,,1.276
490,21-Jul-2013,Sunday,,,,,,,,,,,,,,,,9.5,,0:55:22,5.83,1.277
491,22-Jul-2013,Monday,,,,,,,,,,,,,,,,,,,,1.278
492,23-Jul-2013,Tuesday,12.1,1:15:53,0:06:16,9.57,163,140,1.16%,,10.95,11.82,1:54:22,1:47:48,4:01:14,Semsvann/Gupu,Fairly easy,,,,,1.278
493,24-Jul-2013,Wednesday,8,0:46:38,0:05:49,10.29,159,55,0.69%,,12.38,12.89,1:44:15,1:38:45,3:39:59,Semsvann,Mouth closed,,,,,1.279
494,25-Jul-2013,Thursday,9.5,0:58:00,0:06:06,9.83,,85,0.89%,,,,,,,Semsvann,Easy,,,,,1.279
495,26-Jul-2013,Friday,,,,,,,,,,,,,,,,,,,,1.280
