,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,,,,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Plan time,Plan pace,Plan distance,Plan km,Pmth,Index,TimeWk,plan pace,RHR,Max km
,6-Aug-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.170,,,,
,7-Aug-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.171,,,,
,8-Aug-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.171,,,,
,9-Aug-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.172,,,,
,10-Aug-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.172,#VALUE!,#VALUE!,,0
,11-Aug-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.173,,,,
,12-Aug-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.173,,,,
,13-Aug-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.174,,,,
,14-Aug-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.175,,,,
,15-Aug-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.175,,,,
,16-Aug-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.176,,,,
,17-Aug-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.176,#VALUE!,#VALUE!,,0
,18-Aug-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.177,,,,
,19-Aug-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.178,,,,
,20-Aug-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.178,,,,
,21-Aug-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.179,,,,
,22-Aug-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.179,,,,
,23-Aug-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.180,#VALUE!,#VALUE!,,0
,24-Aug-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.181,#VALUE!,#VALUE!,,0
,25-Aug-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.181,,,,
